# cp [..cp] ; SVOsimple ; MVOsimple
239B..23B1 ; U ; R # Brackets are always sideways
23B2..23B3 ; U ; R # Stacked symbols are always sideways
23B4..23B6 ; U ; U
23B7..23B9 ; U ; R
23BA..23CF ; U ; U
23D0 ; U ; R
23D1..23DB ; U ; U
23DC..23E1 ; U ; R
23E2..24FF ; U ; U
2500..259F ; R ; R
25A0..2619 ; U ; U
261A..261F ; U ; R # #arrows
2620..2767 ; U ; U
2768..276D ; R ; R # Brackets are sideways to enclose their text
276E..276F ; R ; R # [[http://lists.w3.org/Archives/Public/www-archive/2012Mar/0006.html|Guillemets are sideways to enclose their text]]
2770..2775 ; R ; R # Brackets are sideways to enclose their text
2776..2793 ; U ; U
2794 ; U ; R # #arrows
2795..2797 ; U ; R
2798..27AF ; U ; R # #arrows
27B0 ; U ; R
27B1..27BE ; U ; R # #arrows
27BF..27C4 ; U ; R
27C5..27C6 ; R ; R # Brackets are sideways to enclose their text
27C7..27E5 ; U ; R
27E6..27EF ; R ; R # Brackets are sideways to enclose their text
27F0..27FF ; U ; R
2800 ; U ; R # :?: Checking with DAISY but haven't got back yet. Most resources say Braille cannot flow vertical. [[http://www.design-thinking.jp/2011/04/blog-post.html|This page]] indicates [[http://en.wikipedia.org/wiki/Sanada_Yukimura|Yukimura Sanada]] developed vertical Braille as R in 16th century, but this is probably different from the today's Braille. [[http://www6.ocn.ne.jp/~takut/tenjiehon.html|This book]] has vertical modern Braille, but can't identify if it's U or R from the picture.
2801..2982 ; U ; R
2983..2998 ; R ; R # Brackets are sideways to enclose their text
2999..29D7 ; U ; R
29D8..29DB ; R ; R # Brackets are sideways to enclose their text
29DC..29FB ; U ; R
29FC..29FD ; R ; R # Brackets are sideways to enclose their text
29FE..2A65 ; U ; R
2A66..2A67 ; U ; R # :?: Relational operator
2A68..2A6C ; U ; R
2A6D..2ACC ; U ; R # :?: Relational operator
2ACD..2ACE ; U ; R
2ACF..2AD8 ; U ; R # :?: Relational operator
2AD9..2AF6 ; U ; R
2AF7..2AFA ; U ; R # :?: Relational operator
2AFB..2AFF ; U ; R
2B00..2B11 ; U ; R # #arrows
